2024-03-24T23:11:22.590845400,Register,0
2024-03-24T23:11:29.583524400,Exit,0
2024-03-24 23:13:34,Register,0
2024-03-24 23:13:40,Add playlist,0
2024-03-24 23:14:02,Search,0
2024-03-25 12:07:37,Exit,-1
2024-03-25 13:15:22,Exit,-1
2024-03-25 13:16:25,Register,0
2024-03-25 13:16:48,Exit,-1
2024-03-25 13:17:04,Register,0
2024-03-25 13:17:43,Register,0
2024-03-25 13:18:28,Register,0
2024-05-25 19:54:46,Register,0
2024-05-25 19:58:51,Register,0
2024-05-25 21:12:37,Login,0
2024-05-25 21:12:43,Show user details,0
2024-05-25 21:13:03,Exit,0
2024-05-25 21:13:14,Login,0
2024-05-25 21:13:15,Exit,0
2024-05-25 21:13:28,Login,0
2024-05-25 21:13:29,Show user details,0
2024-05-25 21:13:32,Logout,-1
2024-05-25 21:13:38,Login,0
2024-05-25 21:13:39,Exit,0
