2024-03-24T23:11:22.590845400,Register,0
2024-03-24T23:11:29.583524400,Exit,0
2024-03-24 23:13:34,Register,0
2024-03-24 23:13:40,Add playlist,0
2024-03-24 23:14:02,Search,0
2024-03-25 12:07:37,Exit,-1
2024-03-25 13:15:22,Exit,-1
2024-03-25 13:16:25,Register,0
2024-03-25 13:16:48,Exit,-1
2024-03-25 13:17:04,Register,0
2024-03-25 13:17:43,Register,0
2024-03-25 13:18:28,Register,0
2024-05-25 19:54:46,Register,0
2024-05-25 19:58:51,Register,0
2024-05-25 21:12:37,Login,0
2024-05-25 21:12:43,Show user details,0
2024-05-25 21:13:03,Exit,0
2024-05-25 21:13:14,Login,0
2024-05-25 21:13:15,Exit,0
2024-05-25 21:13:28,Login,0
2024-05-25 21:13:29,Show user details,0
2024-05-25 21:13:32,Logout,-1
2024-05-25 21:13:38,Login,0
2024-05-25 21:13:39,Exit,0
2024-05-25 22:00:55,Login,0
2024-05-25 22:00:57,Show user details,0
2024-05-25 22:01:00,Logout,-1
2024-05-25 22:01:27,Register,1
2024-05-25 22:01:35,Logout,-1
2024-05-25 22:01:38,Login,1
2024-05-25 22:01:49,Logout,-1
2024-05-25 22:02:07,Register,2
2024-05-25 22:02:10,Show user details,2
2024-05-25 22:02:18,Exit,2
2024-05-25 22:02:33,Login,0
2024-05-25 22:02:37,Logout,-1
2024-05-25 22:03:06,Login,0
2024-05-25 22:03:10,Clear Notifications,0
2024-05-25 22:03:13,Exit,0
2024-05-26 10:52:14,Register,0
2024-05-26 10:52:28,Exit,0
2024-05-26 10:52:58,Login,0
2024-05-26 10:52:59,Exit,0
2024-05-26 10:59:05,Register,0
2024-05-26 10:59:07,Exit,0
2024-05-26 10:59:28,Login,0
2024-05-26 11:13:35,Login,0
2024-05-26 11:18:14,Login,5
2024-05-26 11:18:17,Logout,-1
2024-05-26 11:18:21,Login,5
2024-05-26 11:18:30,Logout,-1
2024-05-26 11:19:18,Register,0
2024-05-26 11:19:20,Logout,-1
